route_station_id,station_seq,is_start,is_end,route_id,station_id
540,64,0,0,100100006,108000008
541,65,0,0,100100006,108000006
542,66,0,0,100100006,108000004
543,67,0,0,100100006,108000002
544,68,0,0,100100006,109000018
545,69,0,0,100100006,109000016
546,70,0,0,100100006,109000014
547,71,0,0,100100006,109000132
548,72,0,0,100100006,109000130
549,73,0,0,100100006,109000128
550,74,0,0,100100006,109000126
551,75,0,0,100100006,109900076
552,76,0,0,100100006,109000122
553,77,0,0,100100006,109000120
554,78,0,0,100100006,109000118
555,79,0,0,100100006,109000116
556,80,0,0,100100006,109000236
557,81,0,1,100100006,108000016
558,1,1,0,100100007,110000093
559,2,0,0,100100007,110000108
560,3,0,0,100100007,110000110
561,4,0,0,100100007,110000144
562,5,0,0,100100007,110000145
563,6,0,0,100100007,110000146
564,7,0,0,100100007,110000271
565,8,0,0,100100007,110000148
566,9,0,0,100100007,109000191
567,10,0,0,100100007,109000156
568,11,0,0,100100007,109000159
569,12,0,0,100100007,109000161
570,13,0,0,100100007,109000163
571,14,0,0,100100007,109000242
572,15,0,0,100100007,109000165
573,16,0,0,100100007,108000064
574,17,0,0,100100007,108000062
575,18,0,0,100100007,108000060
576,19,0,0,100100007,108000179
577,20,0,0,100100007,108000005
578,21,0,0,100100007,108000007
579,22,0,0,100100007,108000009
580,23,0,0,100100007,108000011
581,24,0,0,100100007,107000001
582,25,0,0,100100007,107000003
583,26,0,0,100100007,107000005
584,27,0,0,100100007,107000007
585,28,0,0,100100007,107000009
586,29,0,0,100100007,100000005
587,30,0,0,100100007,100000003
588,31,0,0,100100007,100000002
589,32,0,0,100100007,100000122
590,33,0,0,100100007,100000129
591,34,0,0,100100007,100000119
592,35,0,0,100100007,100000118
593,36,0,0,100100007,100000109
594,37,0,0,100100007,100000108
595,38,0,0,100100007,100000123
596,39,0,0,100100007,100000124
597,40,0,0,100100007,100000133
598,41,0,0,100100007,107000010
599,42,0,0,100100007,107000008
600,43,0,0,100100007,107000006
601,44,0,0,100100007,107000004
602,45,0,0,100100007,107000002
603,46,0,0,100100007,108000012
604,47,0,0,100100007,108000010
605,48,0,0,100100007,108000008
606,49,0,0,100100007,108000006
607,50,0,0,100100007,108000178
608,51,0,0,100100007,108000061
609,52,0,0,100100007,108000063
610,53,0,0,100100007,108000065
611,54,0,0,100100007,109000164
612,55,0,0,100100007,109000241
613,56,0,0,100100007,109000162
614,57,0,0,100100007,109000160
615,58,0,0,100100007,109000158
616,59,0,0,100100007,109000155
617,60,0,0,100100007,109000190
618,61,0,0,100100007,110000147
619,62,0,0,100100007,110000289
